Event	ID	Name			Wwise Object Path	Notes
	1183362788	Hit_Obstacle			\Default Work Unit\Hit_Obstacle	
	2654748154	Water			\Default Work Unit\Water	
	3991942870	Music			\Default Work Unit\Music	
	4073605608	PlayerIsDead			\Default Work Unit\PlayerIsDead	

State Group	ID	Name			Wwise Object Path	Notes
	3729505769	TimeOfDay			\Default Work Unit\TimeOfDay	
	3800848640	PlayerStatus			\Default Work Unit\PlayerStatus	

State	ID	Name	State Group			Notes
	748895195	None	TimeOfDay			
	1738206610	NightTime	TimeOfDay			
	4206605382	DayTime	TimeOfDay			
	655265632	Alive	PlayerStatus			
	748895195	None	PlayerStatus			
	2044049779	Dead	PlayerStatus			

Custom State	ID	Name	State Group	Owner		Notes
	576626211	Dead	PlayerStatus	\Actor-Mixer Hierarchy\Default Work Unit\Water		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1137641355	WaterSpeed			\Default Work Unit\WaterSpeed	
	3223332851	AmountOfWater			\Default Work Unit\AmountOfWater	

Effect plug-ins	ID	Name	Type				Notes
	2648499661	Hall_Medium_Dark	Wwise RoomVerb			
	3604890626	High_Pass_60Hz	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	76581843	Voices	Y:\Documents\Spring_2020\Videogames\Watergame\Plumbing_WaterGame\.cache\Mac\SFX\Voices2_834C3208.wem		\Interactive Music Hierarchy\Default Work Unit\MusicLevels\DayTime\DayTime\Voices		507066
	178719157	PIano	Y:\Documents\Spring_2020\Videogames\Watergame\Plumbing_WaterGame\.cache\Mac\SFX\PIano_834C3208.wem		\Interactive Music Hierarchy\Default Work Unit\MusicLevels\DayTime\DayTime\PIano		373903
	218464251	NightTime_Shimering2	Y:\Documents\Spring_2020\Videogames\Watergame\Plumbing_WaterGame\.cache\Mac\SFX\NightTime_Shimering2_834C3208.wem		\Interactive Music Hierarchy\Default Work Unit\MusicLevels\DayTime\DayTime\NightTime_Shimering2		447718
	421183266	Guitar 1	Y:\Documents\Spring_2020\Videogames\Watergame\Plumbing_WaterGame\.cache\Mac\SFX\Guitar 1_834C3208.wem		\Interactive Music Hierarchy\Default Work Unit\MusicLevels\DayTime\DayTime\Guitar 1		515871
	471576877	NightTime_Fireflies	Y:\Documents\Spring_2020\Videogames\Watergame\Plumbing_WaterGame\.cache\Mac\SFX\NightTime_Fireflies2_834C3208.wem		\Interactive Music Hierarchy\Default Work Unit\MusicLevels\NightTime\NightTime1\NightTime_Fireflies		541746
	481178558	NightTime_Shimering2	Y:\Documents\Spring_2020\Videogames\Watergame\Plumbing_WaterGame\.cache\Mac\SFX\file0015-glued.wav.reapeaks_834C3208.wem		\Interactive Music Hierarchy\Default Work Unit\MusicLevels\DayTime\DayTime\NightTime_Shimering2		468811
